Chroma_stft,RMS,Spectral Centroid,Spectral Bandwidth,Rolloff,Zero Crossing Rate,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,Label
0.3448839,0.032345798,3386.008241687909,3209.2008883060107,6678.263065732759,0.0874977550287356,-359.87448,103.19717,-38.161324,25.53977,-20.703564,-2.1358864,-12.676491,2.821515,-12.959986,-15.582086,-9.9385195,4.14014,0.8877039,-13.644692,-3.4855862,8.878547,-3.6557028,-3.3017688,-0.34510773,-12.233631,FAKE
0.44534108,0.017170202,3856.547999717317,3307.6174840973194,6707.716527478448,0.1105648347701149,-419.39835,116.71599,-3.7008421,47.235985,-19.615437,24.670416,-8.323079,-1.629937,-7.123891,2.896703,-2.8173997,9.1704855,-0.7038922,4.708162,9.531424,-0.4650988,5.8207245,2.0159192,3.0861137,0.48347473,FAKE
0.3994903,0.056138538,3814.3256174659073,2979.5011161190982,6241.658809267241,0.1258530890804597,-287.58127,102.74606,-36.911053,40.769676,-21.008722,14.018525,-26.692835,1.5275265,-12.820903,0.014805761,-9.16204,7.2381845,-16.00382,-10.569798,-7.245588,-9.154912,-6.7928143,-5.965899,3.3711133,-5.0207934,FAKE
0.32291427,0.06130805,2092.756021790182,2331.6442339059518,3453.9752828663795,0.0655026490660919,-344.12036,154.11143,-6.682799,17.704008,-16.228445,-5.932501,-20.010824,-3.235729,-3.392834,-7.954803,-2.5857887,-8.144231,1.2165409,-0.063611686,-4.633413,-2.3189635,-2.7310848,-8.342533,-3.4140275,-7.6261654,FAKE
0.41661844,0.025404716,1903.312409090017,2406.8169379028923,3015.3909617456898,0.0478796246408046,-384.38806,161.19214,6.095085,52.275078,-10.536139,-11.622356,-25.5713,-5.696531,-1.5412289,7.069371,-0.9935267,0.8004466,3.9039307,-1.0588658,4.9735446,4.3636203,5.2535176,-4.095122,-4.0388494,-6.0444098,FAKE
0.38342574,0.09405272,2424.692276596832,2188.3949540368108,4383.120622306034,0.0735396461925287,-255.70499,167.54138,-53.54271,14.544376,-0.5713671,3.682202,-15.549193,4.1314006,-9.414112,-15.196893,-4.101413,-1.1777077,8.497578,4.5088797,-1.6074108,-4.5287776,-5.8920736,-7.0065393,2.3154418,-0.6650406,FAKE
0.35899675,0.109894745,2484.7938149595416,2101.1257259547424,3970.77215786638,0.0839507004310344,-255.58945,151.56519,-35.116196,20.646753,-18.771786,-1.6358955,-5.305337,-7.498298,-8.620391,-11.044125,-8.692489,-6.3617535,10.725961,3.6821609,-0.46077383,0.08503578,-3.8640628,-10.204226,0.8059467,-1.1682924,FAKE
0.3574811,0.088009015,3093.032349603472,3123.037997677026,5795.154229525862,0.0853201329022988,-271.68576,109.25008,-36.61211,30.40947,-23.889875,-3.1891725,-33.59506,12.266203,-7.3155856,-17.462246,-8.32368,-3.324614,-7.0433235,-9.389053,-4.810186,-12.005455,-8.520474,-10.112756,-12.32516,-17.145567,FAKE
0.38272837,0.08774382,3060.5580786800724,2414.45197529632,5128.367456896552,0.0990705818965517,-259.69635,127.468414,-58.688164,35.368664,7.337231,18.853958,-13.594896,2.2024643,-10.946524,-14.428934,-0.4305017,0.7323337,-4.1352053,-8.333017,-6.921839,-3.4606695,1.1444228,-4.149282,6.640915,-0.97756714,FAKE
0.4984021,0.03314962,3161.703039635964,3037.586127678194,5548.141163793103,0.0835241558908046,-409.63443,117.583824,-10.778008,41.43705,-20.034533,15.691097,-7.8614902,7.58709,-1.7893665,-7.965929,-2.2848806,-12.020589,3.2559679,-4.865344,1.0274482,-6.7422385,-9.129023,-4.0837393,0.38769308,-5.151221,FAKE
0.3151027,0.06021414,2043.229408881309,2894.743109553785,3776.725821659483,0.0324678969109195,-294.00427,156.40295,-31.905176,17.033583,-20.200819,24.988087,-18.97801,-3.117948,-24.64708,-4.985183,-14.971728,-14.619635,6.671565,-5.123173,-5.091388,1.1037177,-7.7194567,-1.4762678,-2.0012813,-16.46333,FAKE
0.4194797,0.044542305,1662.940806681736,1816.832272938122,2883.716662176724,0.0458872126436781,-333.66235,173.60938,-4.11304,25.692959,3.3478723,0.7452417,-18.314089,-16.10217,-9.846575,-1.2291588,3.8896291,1.8715059,-7.5409145,-3.2043633,3.936084,3.058186,3.10654,-3.2007267,-6.243609,-6.0833507,FAKE
0.32436466,0.07262812,2507.397464294965,2908.8364931242354,4257.139008620689,0.0650592672413793,-302.4169,133.86763,-19.894682,14.491169,-33.254147,11.292981,-30.095978,1.6434746,-9.586233,-7.9671807,-23.918636,-15.180208,3.6508203,-13.758657,-6.1687756,1.4381058,-8.61736,-1.4528117,1.4479171,-19.44604,FAKE
0.45022365,0.006626595,3248.1529635403026,3040.179321192318,5753.820379849138,0.107837194683908,-552.5069,129.88942,-12.294091,34.61126,-5.378113,20.343899,-3.6671379,5.6870637,-7.6926,-6.2488313,-7.3625607,-4.8143816,-2.150345,-0.94725275,-1.3227378,-1.3235129,-4.8006124,-2.2198796,7.0376077,-3.5343995,FAKE
0.50261927,0.03561882,3108.907967094317,3355.2969805034354,6131.27020474138,0.081262347341954,-381.55353,118.45282,-5.757443,31.939318,-25.803448,21.164118,-7.8685927,14.789574,-14.3619,-1.9045731,-11.388143,-8.852626,0.5756756,-0.2092688,-10.165256,-6.1463776,-3.3642874,-1.3961536,6.9150434,-11.881047,FAKE
0.55140585,0.045388266,4160.369505463808,3507.240356810571,7665.077788254311,0.1305506914511494,-302.02878,93.09932,-22.163412,61.446857,-20.99816,24.516487,-14.79111,24.634064,-15.58557,3.9174812,-8.185829,0.4283447,4.0279574,-3.3744628,0.64108634,3.430114,3.1935267,5.238481,13.26943,-8.258217,FAKE
0.4167388,0.07182034,3335.5131425891263,3179.6258478436603,6016.673962823276,0.0918417744252873,-228.8621,125.23466,-44.943226,34.52861,-31.991686,17.89968,-19.37769,11.684135,-25.050459,-5.0185933,-16.730093,0.7451949,7.868864,-0.868361,-9.448945,-3.334317,-4.522727,-4.350393,4.74546,-18.713827,FAKE
0.37594447,0.11444245,2322.5014464580786,2563.531909263228,3601.2425915948274,0.0729054418103448,-276.16122,153.1735,0.39694825,9.7310915,-18.72267,-5.0056057,-21.982456,5.5466647,-3.8306713,-18.214724,-10.978829,7.7590346,-15.125245,-12.220083,1.1521542,-7.563826,-6.6956925,-3.531722,-5.2392545,-11.174374,FAKE
0.35784426,0.08158259,1838.1007887156447,2193.9223155676214,3424.0268049568967,0.0479806483477011,-308.22107,179.36624,-22.556051,9.729057,3.5581584,9.781102,-29.582527,-3.453686,3.7946098,-13.716211,-10.975978,-2.1176805,-2.1243224,-2.2852407,0.5079642,0.28773513,-5.072015,-4.3700323,3.2555788,-6.160043,FAKE
0.33021453,0.049068883,1443.168594452785,2020.5203850610608,2389.690530711207,0.0311209141522988,-333.14456,192.64278,-23.386236,9.5148535,-15.148996,18.122614,-7.8938065,-13.818512,-6.2352624,-15.306075,5.448559,-8.465085,-0.8287506,2.8191595,0.79914033,2.4483106,-7.014315,0.6360277,-1.5964195,-2.11325,FAKE
